161 PABE 23.968 55.5052 161_PLOT_RESULTS_stereo_PABE.eps 9 30 0
162 PAJU 23.113 67.024 162_PLOT_RESULTS_stereo_PAJU.eps 12 14 0
163 PBUR 21.9294 56.0236 163_PLOT_RESULTS_stereo_PBUR.eps 2 38 0
164 PUL 30.317 59.767 164_PLOT_RESULTS_stereo_PUL.eps 21 72 0
165 PVF 25.859 60.5454 165_PLOT_RESULTS_stereo_PVF.eps 28 33 8
166 RAF 21.7679 61.0227 166_PLOT_RESULTS_stereo_RAF.eps 11 99 0
167 RATU 19.5913 67.8234 167_PLOT_RESULTS_stereo_RATU.eps 13 8 0
168 RNF 26.0135 66.609 168_PLOT_RESULTS_stereo_RNF.eps 44 64 0
169 ROTU 15.814 61.42 169_PLOT_RESULTS_stereo_ROTU.eps 3 19 0
170 SA01 25.8169 71.1111 170_PLOT_RESULTS_stereo_SA01.eps 3 12 0
171 SA02 28.2417 71.0638 171_PLOT_RESULTS_stereo_SA02.eps 0 5 0
172 SA03 29.0668 70.5034 172_PLOT_RESULTS_stereo_SA03.eps 1 11 0
173 SA04 25.4769 70.3191 173_PLOT_RESULTS_stereo_SA04.eps 8 16 0
174 SA05 31.0083 70.284 174_PLOT_RESULTS_stereo_SA05.eps 0 1 0
175 SA05A 31.0994 70.3712 175_PLOT_RESULTS_stereo_SA05A.eps 1 3 0
176 SA06 20.7599 70.1343 176_PLOT_RESULTS_stereo_SA06.eps 3 1 0
177 SA06A 20.9731 70.0378 177_PLOT_RESULTS_stereo_SA06A.eps 5 3 0
178 SA07 23.3737 70.1272 178_PLOT_RESULTS_stereo_SA07.eps 1 3 0
179 SA08 22.0623 69.7642 179_PLOT_RESULTS_stereo_SA08.eps 2 0 0
180 SA09 30.0391 69.4536 180_PLOT_RESULTS_stereo_SA09.eps 6 9 0
181 SA10 25.6916 69.2007 181_PLOT_RESULTS_stereo_SA10.eps 0 20 0
182 SA11 18.0495 69.1321 182_PLOT_RESULTS_stereo_SA11.eps 0 2 0
183 SA12 18.9144 68.9731 183_PLOT_RESULTS_stereo_SA12.eps 5 5 0
184 SA13 18.8368 68.3491 184_PLOT_RESULTS_stereo_SA13.eps 12 8 0
185 SA14 21.6242 67.6962 185_PLOT_RESULTS_stereo_SA14.eps 1 3 0
186 SA15 18.3647 67.4746 186_PLOT_RESULTS_stereo_SA15.eps 1 2 0
187 SA16 21.0775 67.1517 187_PLOT_RESULTS_stereo_SA16.eps 2 0 0
188 SA17 17.7264 66.9529 188_PLOT_RESULTS_stereo_SA17.eps 1 2 0
189 SA18 23.5642 66.7393 189_PLOT_RESULTS_stereo_SA18.eps 2 0 0
190 SA19 22.1788 66.5654 190_PLOT_RESULTS_stereo_SA19.eps 9 9 5
191 SA20 19.6862 66.4298 191_PLOT_RESULTS_stereo_SA20.eps 4 8 0
192 SA21 25.0304 66.0406 192_PLOT_RESULTS_stereo_SA21.eps 6 5 4
193 SA23 20.3008 65.9262 193_PLOT_RESULTS_stereo_SA23.eps 6 14 4
194 SA24 20.9542 65.7356 194_PLOT_RESULTS_stereo_SA24.eps 2 4 0
195 SA25 14.2249 65.6723 195_PLOT_RESULTS_stereo_SA25.eps 0 4 0
196 SA27 15.8965 65.4823 196_PLOT_RESULTS_stereo_SA27.eps 7 13 0
197 SA28 27.5106 65.4469 197_PLOT_RESULTS_stereo_SA28.eps 4 4 3
198 SA29 19.8452 65.2879 198_PLOT_RESULTS_stereo_SA29.eps 6 9 2
199 SA30 21.4977 65.0923 199_PLOT_RESULTS_stereo_SA30.eps 4 9 3
200 SA31 18.501 64.9911 200_PLOT_RESULTS_stereo_SA31.eps 1 13 0
201 SA32 13.5813 64.9876 201_PLOT_RESULTS_stereo_SA32.eps 3 21 0
202 SA33 10.8499 64.9033 202_PLOT_RESULTS_stereo_SA33.eps 0 1 0
203 SA34 15.0313 64.8318 203_PLOT_RESULTS_stereo_SA34.eps 0 2 0
204 SA35 12.4007 64.534 204_PLOT_RESULTS_stereo_SA35.eps 0 1 0
205 SA36 24.5172 64.4402 205_PLOT_RESULTS_stereo_SA36.eps 1 3 0
206 SA37 16.8178 64.2467 206_PLOT_RESULTS_stereo_SA37.eps 1 8 0
207 SA38 19.0003 64.1291 207_PLOT_RESULTS_stereo_SA38.eps 3 18 4
208 SA39 14.0906 64.0718 208_PLOT_RESULTS_stereo_SA39.eps 0 31 0
209 SA40 11.3353 64.0435 209_PLOT_RESULTS_stereo_SA40.eps 0 6 0
210 SA41 10.2317 63.9665 210_PLOT_RESULTS_stereo_SA41.eps 8 37 0
211 SA42 23.0079 63.8265 211_PLOT_RESULTS_stereo_SA42.eps 2 6 1
212 SA43 15.5148 63.8165 212_PLOT_RESULTS_stereo_SA43.eps 0 9 0
213 SA44 12.3484 63.7052 213_PLOT_RESULTS_stereo_SA44.eps 0 24 0
214 SA45 19.3658 63.5492 214_PLOT_RESULTS_stereo_SA45.eps 3 24 0
