0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
NaN NaN DEPTH STRIKE DIP RAKE STRIKE DIP RAKE 0.047 0 0 0 0
118.03 39.52 15.0 126.00 79.00 -49.00 229.00 43.00 -163.00 4.10818 0 0 0 72.4475
118.78 39.75 15.0 72.00 44.00 -110.00 279.00 49.00 -71.00 2.88648 0 0 0 72.652
169.58 -19.95 15.0 196.00 36.00 -36.00 317.00 70.00 -120.00 1.91224 0 0 0 147.959
45.45 43.15 15.0 107.00 15.00 91.00 286.00 75.00 90.00 1.803 0 0 0 26.1704
-177.56 -30.26 50.7 13.00 59.00 89.00 196.00 31.00 93.00 2.0281 0 0 0 161.498
169.11 -20.71 42.6 159.00 52.00 92.00 336.00 38.00 88.00 2.72159 0 0 0 148.472
124.55 3.6 349.6 48.00 78.00 -99.00 264.00 15.00 -55.00 2.0281 0 0 0 104.334
104.42 32.63 15.0 29.00 48.00 122.00 166.00 51.00 60.00 2.41952 0 0 0 69.9683
123.75 7.07 33.0 158.00 55.00 89.00 341.00 35.00 92.00 5.198 0 0 0 101.102
126.1 10.08 47.3 131.00 55.00 -108.00 340.00 39.00 -67.00 1.60288 0 0 0 100.109
123.01 7.14 15.0 120.00 83.00 -26.00 214.00 64.00 -172.00 3.06137 0 0 0 100.596
129.74 -6.9 185.5 223.00 85.00 -44.00 318.00 46.00 -174.00 1.91224 0 0 0 115.79
104.29 32.37 15.3 198.00 40.00 113.00 349.00 54.00 72.00 1.91224 0 0 0 70.0759
104.21 32.11 19.6 16.00 48.00 107.00 172.00 45.00 72.00 2.0281 0 0 0 70.2133
13.23 46.19 15.0 60.00 68.00 86.00 251.00 22.00 100.00 1.60288 0 0 0 3.95681
149.38 44.8 46.7 76.00 77.00 111.00 196.00 24.00 32.00 1.60288 0 0 0 80.8827
-177.32 -30.41 15.0 18.00 75.00 87.00 208.00 15.00 100.00 2.2813 0 0 0 161.688
153.1 -6.57 15.0 76.00 55.00 -114.00 293.00 41.00 -60.00 1.91224 0 0 0 128.776
161.42 -10.65 99.0 202.00 4.00 -50.00 342.00 87.00 -93.00 1.51132 0 0 0 136.212
139.93 -4.55 15.0 1.00 80.00 174.00 92.00 84.00 10.00 2.56611 0 0 0 120.041
77.84 -28.75 15.0 46.00 62.00 -88.00 223.00 29.00 -93.00 2.2813 0 0 0 99.0071
101.4 27.5 22.7 19.00 66.00 -6.00 111.00 84.00 -156.00 1.91224 0 0 0 71.7925
59.15 34.07 15.0 169.00 84.00 168.00 260.00 78.00 6.00 1.60288 0 0 0 39.9989
126.86 8.35 42.1 30.00 62.00 118.00 162.00 39.00 49.00 2.56611 0 0 0 101.946
142.23 38.03 32.4 30.00 72.00 97.00 188.00 19.00 70.00 1.803 0 0 0 84.4911
117.71 39.45 15.0 53.00 83.00 -145.00 318.00 56.00 -9.00 2.0281 0 0 0 72.3378
79.88 -41.32 15.4 232.00 85.00 174.00 323.00 84.00 5.00 1.803 0 0 0 109.668
157.07 -8.75 15.0 254.00 77.00 -3.00 345.00 87.00 -167.00 2.0281 0 0 0 132.579
134.93 -4.17 15.0 158.00 86.00 109.00 259.00 19.00 12.00 2.15098 0 0 0 116.809
43.96 38.88 15.0 110.00 81.00 167.00 203.00 77.00 9.00 2.88648 0 0 0 27.2045
-177.32 -20.32 471.1 10.00 36.00 -48.00 142.00 64.00 -116.00 2.15098 0 0 0 151.735
-177.61 -19.46 452.8 17.00 62.00 -53.00 139.00 46.00 -138.00 2.15098 0 0 0 150.845
-126.22 41.46 15.0 54.00 85.00 5.00 324.00 85.00 175.00 2.41952 0 0 0 81.7206
-68.51 -20.54 133.7 181.00 27.00 -73.00 342.00 64.00 -99.00 3.87349 0 0 0 96.9868
139.54 28.08 499.0 73.00 19.00 -177.00 339.00 89.00 -71.00 2.0281 0 0 0 92.0644
